Category,lamda,mu,sigma
RETAIL STORE (FOOD),30,1,0.5
HOLISTIC CENTRE,5,1.5,0.5
DRIVING SCHOOL OPERATOR (B),5,1,0.5
DRIVE-SELF RENTAL OWNER,10,0.33,0.5
PLACE OF AMUSEMENT,30,1,0.5
PRIVATE PARKING ENFORCEMENT AGENCY,5,0.33,0.5
SMOKE SHOP,10,0.5,0.5
BILLIARD HALL,20,1,0.5
BODY RUB PARLOUR,10,1,0.5
TAXICAB BROKER,10,0.33,0.5
BOWLING HOUSE,20,1,0.5
ADULT ENTERTAINMENT CLUB,5,1,0.5
LIMOUSINE SERVICE COMPANY,10,0.33,0.5
PRIVATE TRANSPORTATION COMPANY,10,0.33,0.5
CARNIVAL,3,0.33,0.5
TEMPORARY SIGN PROVIDER,3,0.33,0.5
TAXICAB OPERATOR,10,0.33,0.5
SHORT TERM RENTAL COMPANY,3,0.33,0.5
CIRCUS,100,2,0.5
